module_id,category,title,level,description,image,lessons_count
1,Parcours,Fondamentaux du poker de tournoi,Débutant,"Tout commence ici. Comprends la structure des tournois, la valeur du chip, les blindes et antes, et les règles qui régissent chaque table. La fondation de tout le reste.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD1.webp,20
2,Parcours,Bases stratégiques essentielles,Débutant,"Les concepts qui traversent toutes les situations : sélection de mains, position, agressivité de base et logique d'equity. Ce que tout joueur sérieux doit maîtriser.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD2.webp,20
3,Parcours,Jeu préflop structuré,Intermédiaire,"Le préflop conditionne tout. Ranges d'ouverture, 3-bet, squeeze, cold call — apprends à construire un jeu préflop cohérent et difficile à exploiter.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD3.webp,20
4,Parcours,Jeu postflop essentiel,Intermédiaire,"Flop, turn, river : chaque street demande une logique différente. C-bet, check-raise, protection et value — les briques du jeu postflop solide.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD4.webp,20
5,Parcours,Math & théorie moderne,Avancé,"Le poker est un jeu de chiffres. Pot odds, equity, EV, fréquences de bluff — maîtrise les maths pour prendre des décisions fondées, pas instinctives.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD5.webp,20
6,Parcours,Jeu online & grind MTT,Avancé,"Le volume, la multi-table, les lobbies et le rythme du grind online ont leurs propres règles. Adapte ton jeu et ta routine pour performer sur le long terme.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD6.webp,20
7,Parcours,Stratégies avancées & GTO,Expert,"Ranges équilibrées, solvers, mixed strategies et théorie des jeux appliquée au poker. Pour les joueurs qui veulent comprendre le jeu à son niveau le plus profond.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD7.webp,20
8,Parcours,Mental & discipline pro,Expert,"Bankroll management, hygiène de vie, routine de joueur — tout ce qui permet de durer. La discipline hors-table construit les performances à la table.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD8.webp,20
9,Parcours,"Étude, analyse et progression",Expert,"Comment travailler son jeu efficacement. Revue de mains, utilisation des solvers, identification des leaks et construction d'un plan de progression structuré.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD9.webp,20
10,Parcours,Vie du joueur & professionnalisation,Expert,"Jouer en pro, c'est un mode de vie. Fiscalité, voyage, sponsoring, communauté — tout ce qu'il faut savoir pour vivre du poker de façon durable.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/modules/Modules_MOD10.webp,20
