lesson_id,module_id,num,title,subtitle,image
1,1,1,Bienvenue dans les MTT,"Le point de départ. Comprends ce qu'est un tournoi MTT, comment il se déroule et ce qui t'attend en tant que joueur. Une mise en contexte essentielle avant d'aller plus loin.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L01.webp
2,1,2,Règles du Texas Hold’em,"Deux cartes en main, cinq au centre, le meilleur combiné gagne. Apprends les règles fondamentales du Hold'em : distribution, actions possibles et déroulement d'une main de A à Z.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L02.webp
3,1,3,Hiérarchie des mains,"Quaire d'as bat un full house, une couleur bat une quinte. Mémorise le classement des dix combinaisons et ne plus jamais douter de qui gagne le pot.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L03.webp
4,1,4,"Blinds, Antes et Structure du pot",Pourquoi met-on des jetons avant même de voir ses cartes ? Comprends le rôle des blindes et des antes dans la dynamique du jeu et la constitution du pot.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L04.webp
5,1,5,Les positions et pourquoi elles comptent,"Être en position, c'est agir après ses adversaires — un avantage énorme. Découvre les noms et rôles de chaque position autour de la table et pourquoi ça change tout.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L05.webp
6,1,6,Les types de tournois,"Freezeout, rebuy, PKO, satellite — chaque format a ses propres règles et stratégies. Fais le tour des principaux types de tournois pour savoir dans quoi tu t'embarques.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L06.webp
7,1,7,Les phases d’un MTT,"Un tournoi ne se joue pas pareil du début à la fin. Début tranquille, bulle tendue, final table explosif — chaque phase a son propre visage et ses propres enjeux.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L07.webp
8,1,8,L’objectif d’une main,"Gagner un pot, ce n'est pas toujours showdown. Comprends les deux façons de remporter une main — par la valeur ou par le bluff — et ce que tu cherches à accomplir à chaque fois.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L08.webp
9,1,9,Introduction au sizing,Combien miser ? Ce n'est pas aléatoire. Une première approche du sizing : pourquoi la taille de ta mise envoie un message et comment en faire un outil plutôt qu'un réflexe.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L09.webp
10,1,10,"Lire les ranges, pas les cartes",Ton adversaire ne joue pas qu'une seule main — il a un éventail de possibilités. Introduction au concept de range et à la façon de penser en groupes de mains plutôt qu'en cartes précises.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L10.webp
11,1,11,Équité & outs simples,Combien de cartes peuvent te sauver ? L'équité mesure tes chances de gagner le pot. Apprends à compter tes outs et à estimer tes probabilités de victoire en cours de main.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L11.webp
12,1,12,L’ordre d’action et les tours d’enchères,"Préflop, flop, turn, river — quatre tours, des règles précises. Comprends qui parle en premier, qui répond, et comment l'action progresse dans chaque street.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L12.webp
13,1,13,Les pots multiples,"Quand plusieurs joueurs sont all-in avec des stacks différents, plusieurs pots se créent. Comprends la logique des side pots pour ne jamais être pris de court dans une situation complexe.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L13.webp
14,1,14,Choisir sa table et sa place (en live),"Toutes les tables ne se valent pas. Apprends à choisir la table et la place qui maximisent ton avantage en live : les bons adversaires à ta droite, les poissons dans ton champ de vision.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L14.webp
15,1,15,Étiquette & sécurité (live),"Au casino ou en salle, il y a des règles non écrites. Protège tes cartes, annonce tes actions clairement, respecte le rythme — un comportement exemplaire évite les angles et les malentendus.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L15.webp
16,1,16,Les outils de base (online),"Lobby, filtres, HUD, notes de couleur — l'environnement online a ses propres codes. Un tour des outils essentiels pour jouer efficacement depuis ton écran dès le premier jour.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L16.webp
17,1,17,La gestion de bankroll (bases),Combien de buy-ins garder pour jouer sereinement ? La gestion de bankroll protège ton capital contre la variance. Les règles de base pour ne pas te retrouver à zéro après une mauvaise série.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L17.webp
18,1,18,Les bases du mental poker,Le poker teste autant la tête que les cartes. Une première approche du mental : comprendre pourquoi les émotions coûtent des jetons et poser les premières bases d'un jeu stable.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L18.webp
19,1,19,Les risques liés au poker,"Le poker peut être addictif, financièrement dangereux et mentalement épuisant si on n'y fait pas attention. Un module lucide sur les risques réels pour jouer de façon responsable et durable.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L19.webp
20,1,20,Bilan du Module 1 : Les Fondations du Jeu,"Tu as posé les fondations. Reviens sur les concepts clés du module, teste ta compréhension et mesure ta progression avant de passer au niveau suivant.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M1-L20.webp
21,2,1,Penser en situations,Le poker n'est pas une suite de mains isolées — c'est un flux de situations récurrentes. Apprends à reconnaître les patterns pour décider plus vite et plus juste.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L01.webp
22,2,2,Objectifs d’une main (approfondi),"Au-delà de gagner le pot : construire, protéger, bluffer ou plier au bon moment. Approfondis ta lecture de ce que tu cherches à accomplir à chaque street.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L02.webp
23,2,3,Plan de main (bases),"Avant d'agir, projette-toi. Un plan de main simple, c'est anticiper les turns et rivers possibles dès le flop pour ne pas se retrouver piégé à mi-chemin.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L03.webp
24,2,4,Types de mise,"Value bet, bluff, semi-bluff, protection, blocker bet — chaque mise a un objectif. Comprends la taxonomie des mises pour agir avec intention à chaque fois.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L04.webp
25,2,5,Position : revoir son impact,"Tu connais les positions, maintenant mesures-en vraiment l'impact. Pourquoi agir en dernier transforme chaque décision, comment exploiter l'information que ça génère.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L05.webp
26,2,6,Jouer contre différents profils,"Fish tight, fish loose, TAG, LAG — chaque profil a ses failles. Une introduction aux grandes catégories de joueurs et aux ajustements de base pour les exploiter.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L06.webp
27,2,7,Bluffer : quand et pourquoi ?,"Le bluff n'est pas un coup de poker — c'est une décision calculée. Apprends les conditions qui rendent un bluff profitable : fold equity, timing, board et profil adverse.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L07.webp
28,2,8,Le value bet simple,Avoir la meilleure main ne suffit pas : encore faut-il être payé. Comment calibrer une value bet pour extraire le maximum sans faire fuir ton adversaire.,https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L08.webp
29,2,9,Protection de main,"Certaines mains sont vulnérables aux cartes suivantes. La protection, c'est miser pour réduire l'équité adverse — savoir quand et combien pour éviter de se faire outdrawn.",https://vpzqboqbaosguyyqyzmx.supabase.co/storage/v1/object/public/academy/parcours/M2-L09.webp
